# Мутации гейта чисел (0d): id, файл, что заменить, на что, чем гейт обязан
# ответить. Поля разделены табуляцией.
#
# СЧЁТ ВЛАДЕЛЬЦА в полях 3-5 (вход, мутация, ждём-след) пишется ТОКЕНОМ
# {OWNER:<id>:<величина>} и живёт в одном доме -- у владельца: значение
# подставляет стенд из реестра OWNERS гейта чисел, поэтому таблица едет
# вместе с владельцем без правки здесь. Литерал допустим ровно там, где
# мутация обязана держать ЗАВЕДОМО ДРУГОЕ число, и защищён проверкой
# «после подстановки поле 3 не равно полю 4».
#
# Почему таблица лежит ОТДЕЛЬНО от кода стенда: вход каждой мутации -- это
# нарочно неверное утверждение о счёте, а гейт сканирует прозу в .md и .txt
# и комментарии в .sh, .js, .py. Записанное в коде стенда, оно было бы живым
# утверждением. Данные (как corpus-versions.txt) гейт не читает.
#
# Каждая строка обязана и ПРИМЕНИТЬСЯ (вход найден дословно и РОВНО ОДИН раз:
# теневой дубликат в другом месте файла позволял мутации подтвердиться после
# того, как её настоящая цель исчезла), и покраснить гейт ИМЕННО своей
# причиной: красное не по той причине -- провал стенда, а не подтверждение.
#
# Каждое правило грамматики имеет здесь СВОЙ вход: украшения разметки (D5),
# ширина связки (D11), регистр имени (D9), общее слово вместо имени (D8),
# явные пометки (D10, D12), граница прозы и кода (D13), неоднозначность (D6).
D1	README.md	{OWNER:corpus-tools-bench:scenarios} scenarios on a toy corpus	{OWNER:corpus-tools-bench:scenarios:+1} scenarios on a toy corpus	объявлено «{OWNER:corpus-tools-bench:scenarios} scenarios» (владелец corpus-tools-bench)
D2	README.md	corpus-tools-bench's {OWNER:corpus-tools-bench:mutations} recorded mutations	corpus-tools-bench's {OWNER:corpus-tools-bench:mutations:+1} recorded mutations	объявлено «{OWNER:corpus-tools-bench:mutations} mutations» (владелец corpus-tools-bench)
D3	README.md	| `tools/corpus-tools-bench.sh` | corpus-tools-bench, for the corpus tools	| `tools/judge-tools-bench.sh` | judge-tools-bench, for the corpus tools	владелец judge-tools-bench
D4	tools/probe-bench.js	const EXPECTED_SCENARIOS = {OWNER:probe-bench:scenarios};	const EXPECTED_SCENARIOS = {OWNER:probe-bench:scenarios:+1};	владелец probe-bench
D5	claude-patch-all.sh	            if prev_at < lo_s or prev in LEFT_STOP:	            if prev_at < lo_s or not prev.isalnum():	ячейки таблицы
D6	tools/docnum-bench.py	EXPECTED_MUTATIONS = {OWNER:docnum-bench:mutations}	EXPECTED_MUTATION_COUNT = {OWNER:docnum-bench:mutations}	не объявляет свою величину
D7	tools/corpus-tools-bench.sh	EXPECTED_MUTATIONS={OWNER:corpus-tools-bench:mutations}	EXPECTED_MUTATION_COUNT={OWNER:corpus-tools-bench:mutations:+1}	не объявляет свою величину
D8	claude-patch-all.sh	BENCH_WORDS = ('bench', 'benches',	BENCH_WORDS = ('nosuchword', 'benches',	общим словом
D9	claude-patch-all.sh	    low = stream.casefold()	    low = stream	имя с заглавной буквы
D10	claude-patch-all.sh	MARKERS = ('docnum:historical', 'docnum:subset', 'docnum:example',	MARKERS = ('subset', 'подмножеств', 'docnum:example',	отрицание не работает как разрешение
