# Зубы реестра проверок: каждая строка -- мутация СОБРАННОГО образа, которая
# обязана покраснить названную проверку и ТОЛЬКО её. Формат (9 полей через
# табуляцию): id, имя проверки, вид, якорь, замена, ещё-красные, ожидаемое
# число вхождений, пометка, шаг-владелец. Вид `literal` -- байтовая
# подстановка (замена дополняется пробелами до длины якоря; длиннее якоря --
# отказ прибора). Вид `derived` -- мутация считается в самом приборе: имя,
# которое она правит, минифицировано и живёт только в конкретной версии.
# Вид `inapplicable` -- зуб третьего исхода шага 29: мутация скрипта проверок,
# декларации или WITNESSES в патче; якорь/замена в таблице -- маркер вида,
# правку несёт прибор. Счёт этих строк -- EXPECTED_INAPPLICABLE_TEETH, не
# EXPECTED_MUTATIONS (тот остаётся длиной literal/derived).
#
# Шестое поле -- ЕЩЁ ОЖИДАЕМЫЕ красные (через `;`, пусто -- ровно одна дверь):
# свойство иногда сторожат две проверки, и тогда честный ответ -- назвать обе,
# а не подобрать мутацию поуже.
#
# Седьмое поле -- ОЖИДАЕМОЕ ЧИСЛО ВХОЖДЕНИЙ якоря на собранном образе версии-
# цели. Обязательно у КАЖДОЙ строки (опциональность вернула бы отказ,
# открывающийся молчанием). literal -- целое (замерено на цели; darwin и linux
# одной версии совпадают: якоря неминифицированы, множитель встраивания
# платформо-равен -- версии же расходятся, и ровно это ловит зуб);
# derived/inapplicable -- `-` (edits_literal их не мутирует). Прибор разводит
# два отказа, прежде шедших одним текстом (#149): число разошлось с ожидаемым --
# сдвинулась ПЛОЩАДКА (апстрим завёл/убрал вхождения идиома), зуб цел,
# направление названо; объявленное число выше потолка -- якорь слишком широк,
# зубу место в derived. Восьмое -- пометка.
#
# Дополнение до длины якоря идёт ПРОБЕЛАМИ В КОНЕЦ замены, поэтому замена,
# соседствующая с чужим якорем, пишется с внутренними пробелами: хвост из
# пробелов разорвал бы соседнюю проверку и покрасил её чужой причиной.
#
# Девятое поле -- ШАГ-ВЛАДЕЛЕЦ ряда: номер шага патча, предмет которого
# мутирует ряд, либо пусто, если ряд не принадлежит шагу (принадлежность
# доказывается чтением, не догадкой: неверный номер молча подарил бы ряду
# чужую судьбу). Поле -- ПРОВЕНАНС для проверяющей стороны: оно НЕ отменяет
# ряд там, где предмет есть. Третий исход даёт только ОБЪЯВЛЕННАЯ в
# tools/our-patch-inapplicable.txt пара «версия образа × шаг»: такой ряд
# уходит в «ИТОГ неприменимых по версии», а не в отказы прибора -- ведро
# отказов обязано оставаться сигналом, и два постоянных жильца делали
# прибор слепым к третьему (#353). Пара без строки в декларации отказывает
# как обычно: неприменимость даёт объявление, а не ненахождение якоря.
# Номер шага, которого нет среди объявленных в tweakcc-patch.js, -- отказ
# прибора с номером.
#
# Каждая мутация ВОСПРОИЗВОДИТ дефект, названный кругом 20 (линза C): проверка
# зелена, а свойство, которое обещает её имя, мертво.
C10	statusline throttle raised	derived	@derived	@derived		-	дебаунс вернулся к стоковому значению, приманка того же имени лежит вдали	
V1	refusal fallback routes come from the config	literal	CLAUDE_CODE_REFUSAL_FALLBACK_ROUTES	CLAUDE_CODE_REFUSAL_FALLBACK_ROUTEZ		2	шов таблицы отказов снова не читает конфиг: ключ в теле шва переименован, разбор молчит и обе дорожки отказа берут вшитую таблицу	
V2	top of the lineup is a reachable fallback	literal	()===void 0?	()===void 1?		7	опт-ин понижения цели в DJ убит: шовная скобка `()===void 0?` в тернаре переписана на всегда-ложную, и снятие понижения цели перестаёт зависеть от таблицы (верх линейки пускается и без ручки) -- проверка обязана краснеть и на сломанный опт-ин, а не только на исчезнувшую связку констант; якорь без минифицированных имён, на собранном образе 2.1.270 ОДИНАКОВО на darwin и на linux -- 7 вхождений (6 стоковых + наш тернар DJ), потолок прибора 8	
V3	top of the lineup is a reachable fallback	literal	="claude-opus-4-8",	="claude-opus-4-9",	the armed model keeps its stock downgrade	1	связка констант понижения и верха снова расцеплена: значение константы понижения изменено, форма `var <F>="claude-opus-4-8",...` больше не собирается, и проверка верха линейки теряет первую из своих форм; та же мутация роняет и сторож сохранности вооружённой модели -- его цепочка начинается с той же связки, -- поэтому дверей честно две; якорь без минифицированных имён, ровно 1 вхождение на обеих платформах (перемерено контроллером на darwin-стоке, linux-стоке и собранном linux-образе), замена равной длины	
V4	top of the lineup is a reachable fallback	derived	@derived	@derived		-	опт-ин исключения верха в find-предикате убит в НАШЕЙ форме одной: сравнение с void 0 сломано внутри `!(<S>()===void 0&&<A>(<x>))` -- исключение верха перестаёт зависеть от таблицы и живёт всегда; литеральный зуб невозможен (`()===void 0&&` -- на собранном образе 2.1.278 13 вхождений при потолке прибора 8; на пристине той же версии их 12 -- тринадцатое ставит наш же шаг, и число растёт вместе с формами апстрима), поэтому мутация derived: прибор находит НАШУ форму регекспом, тем же, что у проверки, и правит только её	
B1	the mod-API model budget ceiling is operator-set	literal	MODEL_BUDGET;if(v===void 0||v==="")return Infinity;	MODEL_BUDGET;if(v===void 0||v==="")return 20000000;		1	умолчание снятого потолка заменено конечным числом: лимит мод-API вернулся, и веер снова гаснет на исчерпании -- ровно та потеря, ради которой шаг 29 существует; замена ТОЙ ЖЕ длины (51). Якорь несёт ИМЯ РУЧКИ: шаг 30 вставляет такую же хвостовую форму для предела maxTokens, и короткий якорь красил бы обе проверки разом -- то есть чужой дверью	29
B2	the mod-API budget warning derives from that ceiling	derived	@derived	@derived		-	порог предупреждения записан своим числом вместо произведения потолка на долю: снятый потолок перестаёт его гасить, и образ печатает предел, которого нет; литеральный зуб невозможен -- оба имени минифицированы и РАЗНЫЕ на darwin и linux одной версии, поэтому мутация derived той же иглой, что и проверка	29
M1	the mod-API per-call maxTokens ceiling is operator-set	literal	MAX_TOKENS;if(v===void 0||v==="")return Infinity;	MAX_TOKENS;if(v===void 0||v==="")return 20000000;		1	умолчание снятого предела одного вызова заменено конечным числом: мод снова не может попросить ответ длиннее этого числа, и судья со своими 24000 упирается в стену, ради снятия которой шаг 30 существует; замена ТОЙ ЖЕ длины (49), якорь несёт имя ручки и потому не задевает соседнюю форму шага 29	30
M2	the mod-API per-call maxTokens default is not the ceiling	derived	@derived	@derived		-	умолчание maxTokens сведено с ПРЕДЕЛОМ в одно имя: мод, не передавший maxTokens, получает снятый предел вместо своих 256 -- вред, которого на стоке нет и который создаёт именно наша правка; литеральный зуб невозможен -- оба имени минифицированы и РАЗНЫЕ на darwin и linux одной версии (sMt/H0s против cMt/fOs), поэтому мутация derived той же иглой, что и проверка	
M3	the mod-API forwards a per-call effort	literal	&&__mcEff!==""&&{extraBodyParams	&&__mcEff===""&&{extraBodyParams		1	условие проброса эффорта вывернуто: `!==""` стало `===""`, и эффорт уезжает провайдеру ровно тогда, когда его не задали -- то есть никогда. Правка РАВНОЙ ДЛИНЫ и в одном знаке: зуб обязан ловить смысл, а не объём. Предмет измерен на живых записях судьи: на дороге, где эффорт доезжает, первая ступень лестницы выносит 96% вердиктов, на дороге, где он терялся -- 15%	30
